text,target
kim seninle arkadaş olmaz ister ki,INSULT
O düdük ananın amına girsin,PROFANITY
senin güttüğün koyun kadar benim çoban sikmişliğim var,PROFANITY
sokayım yapacağın işe,PROFANITY
Bu laflar boy boy siksin seni vahşi kovboy,PROFANITY
adamın son iki harfisin,PROFANITY
Zenciler daha güçlü olduklarından kaynaklı hispanikleri eziyorlar,RACIST
hiç mi kafan çalışmıyor,INSULT
Karı gibi araba kullanma,SEXIST
ıhlamurdan odun olmaz beslemeden kadın olmaz,SEXIST
eski amla yeni sefa sürüyor,PROFANITY
karı gibi kıvırtma oğlum,SEXIST
erkeklerde doktorluk yapabilir,SEXIST
kadınsız eve ev mi denir,SEXIST
rumlar sevilmez,RACIST
İyilik yaramıyor sikin belasını,PROFANITY
Anlamıyosun hiçbirşey ne yapıyım ki sana daha,INSULT
Alçaksın gözümden kaybol,INSULT
Saçların çok çirkin,INSULT
Rallici kadın olamaz,SEXIST
karı gibi oynama benimle,SEXIST
Seni küçükken eşşekler tepmiş galiba anırıp durma,INSULT
yarrak antenli,PROFANITY
topal eşek gibi yürüyorsun,INSULT
boş teneke gibisin çok ses çıkarıyorsun,INSULT
laz insana he de geç,RACIST
Her şeye papağan gibi yorum yapma,INSULT
Utanmaz gelmiş bi de sen kimsin diyor,INSULT
"İffet- sahibi, bir kadın ile evlenmeni< istiyorlar",SEXIST
densiz devenin kuyruğu deh demeden sallanır arsız avradın amcığı haftada bir kıllanır,PROFANITY
seni sivasın ayazındavazelinsiz sikerim,PROFANITY
seni babana müjdeleyeni sikeyim,PROFANITY
etinden korkanın kemiğini sikeyim>,PROFANITY
cok bilmis,INSULT
sen konuşma eksik etek,SEXIST
gelişen teknolojide kadının işi ne,SEXIST
Gelişmemiş ülkenin eğitimsiz aptal sürüsü,INSULT
Almanların sözlüğünde espri ve kinaye diye bir kelime yok çok suratsızlar,RACIST
Yeni evli kadınlar büyüklerine saygı duymalıdır,SEXIST
siktir zancık,PROFANITY
Erkek söz dinlemez,SEXIST
Nerede salaknerede gerizekalı orospu çocuğu varsa elimle koymuş gibi bulurum,PROFANITY
Ruslar dünyanın en tehlikeli milletidir,RACIST
at havaya tut beni çevir çevir sik beni,PROFANITY
Elinin hamuruyla bu işi becerebilir misin?,SEXIST
Filin karıncadan korktuğu gibi tırsak bi adamsın,INSULT
Sıkıcısın senin yanında olmaktan hoşlanmıyorum,INSULT
"orada siyah afrikalılardan ""leş gibi iğrenç kokuyorlar"" falan diye bahsediyordu beyaz köle tacirleri",RACIST
"Öcünü deli Kürt kırk yılda almış da ""Oh ne çabuk aldım"" diyerek sefasından bayılmış",RACIST
kılıcında kan görmediğim adamın cesedini sikerim,PROFANITY
gelin dediğin hizmer eder,SEXIST
Erkeğinden izin almayan kadın hiç birşey yapmamalıdır,SEXIST
Seni süt banyoma koyar götüne badem sokarım,PROFANITY
kiz arkadasini susturamayan erkegi erkek saymam,SEXIST
Tatar tarllalara bok atar,RACIST
agzin aclik kokuyor,INSULT
bu teknolojik aletler hep gavur icadı,RACIST
öküzlükte sınır tanımıyorsun yine,INSULT
Başı boş< gezemez& kadın,SEXIST
aile boyu orospunuz,PROFANITY
Dikkat ettiyseniz kimse artık kripto parametaverse konuşmuyo gerçek hayat herkesi götünden bıçakladı,PROFANITY
erkek dediğin ağlamaz,SEXIST
Afrikalı zenginler kendi vatandaşlarını yoksulluğa bırakmış şeref sahibi olmayan toplumdur,RACIST
senin annen baban yok mu yetim misin sen,INSULT
amına koyma cebine koy bayramda harcarsın,PROFANITY
Ukraynalılar ahlak ve kültür konularında geri kalmıştır,RACIST
Katil tipli birisin,INSULT
Kadının esas yeri evidir,SEXIST
gavurlar yaptıysa doğrudur,RACIST
Sevginizi ve duygularınızı orospu çocuklarına değil doğru insanlara gösterin,PROFANITY
Güveneceğim son kişisin,INSULT
üzerindeki elbiseyi kızılay mı dağıttı,INSULT
allah canımı alsın da ölmüşlerini sikeyim,PROFANITY
kadının şerri şeytanın şerrine eştir,SEXIST
çokta güzel sikerler seni,PROFANITY
doğru düzgün saysana şu parayı salak,INSULT
Yaratanın seni tipinle sınıyor sakın inancını yitirme,INSULT
Yunana guveneceğine yahudıye güven,RACIST
elini kıçına sokarım gezersin sürahi gibi,PROFANITY
sipastik beceriksiz,INSULT
Rafine zevklerin beni benden alıyor,INSULT
Kafadan kontak,INSULT
Avrat ev yapar avrat ev yıkar,SEXIST
Tembel teneke,INSULT
Erkekler birer ot gibidirler nerede bitecekleri ve yeşerecekleri belli olmaz ve illa ki bir gün o otu bir hayvan yiyecek ve erkeklerin asıl yüzlerini dışarı çıkaracaklardır,SEXIST
Sen gerçekten tam bi budalasın,INSULT
amlarinizin zekatini verdiniz mi,PROFANITY
erkek evin direğidir,SEXIST
bi karı dırdırı eksikti,SEXIST
kadın dediğin taktın mı koluna vurdun mu duvara yakışmalı,SEXIST
siktir git,PROFANITY
Kadınların zekaları kendilerini seven erkeklerden kalma tortulardan oluşur,SEXIST
spastik spastik davranma,INSULT
tam bir korkakla birlikteymişim o an anladım,INSULT
am kalkabilen bir şey olsa seni gördükten sonra inerdi,PROFANITY
Aynı kürt karıları gibi ten rengin olmuş,RACIST
Arap olayım söylediğim söz doğru değilse,RACIST
seni paramla satın alabilirim mal,INSULT
seni bi sikerim boş otobüste ayakta gidersin,PROFANITY
çokta sikimde,PROFANITY
Tam bir yalan insansın,INSULT
onun sakar çocuğu en sevdiğim vazomu gelip kırmasın mı,INSULT
yarrak başlı insan,PROFANITY
Artik su suriyeliler bi gitsin,RACIST
senin en sevdiklerinin amına koyayım,PROFANITY
bu işten bir şey anladıysam Arap olayım,RACIST
Sen sus lan ibiş,INSULT
şimdi birşey derdimde neyse kızsın,SEXIST
Siktir etmek herşeyin ilacıdır,PROFANITY
Kendisi için bu budalaların arasında bir dakika geçirmek artık bir asır kaybetmeye müsaviydi,INSULT
kız gibi dövüşüyorsun,SEXIST
Çingen misin roman mısın ne oldupun belli değil,RACIST
Dünyayı su basmış ördeğin sikinde mi,PROFANITY
çingenler oynamadan duramaz,RACIST
İspanyollar pis kokarlar,RACIST
yahudi soyundan mı geliyorsun,RACIST
Bakar misiniz Burada kurtce sarki soylemeniz beni rahatsiz ediyor,RACIST
Huzur istiyorum orospu çocukları ama ölünce değil,PROFANITY
ananın amına naylon terlikle vururum,PROFANITY
gelsin siksin de adamcağız göt görsün,PROFANITY
yarrağına koyayım senin,PROFANITY
Zencilerin hepsi bencillerdir,RACIST
mülteciler sınır dışı edilmeli sizde istenmediğiniz yerde fazla durmayın artık,RACIST
nerde bir dilenci gördün bil ki çingenedir,RACIST
senin olup olmaman kimsenn umrunda değil,INSULT
Kiz bidonlari nasil kaldirdi erkek gibi maasallah,SEXIST
anasının rahminde babasına götünü dönen ibne,PROFANITY
bu olaylara senin laz aklın ermez,RACIST
Ağzı olan konuşmasın sikerler o ağzı,PROFANITY
Evde kedi gibi pısırık dışarda aslan gibisin arada kocaman bi fark var,INSULT
arsızın götüne gazzığı sokmuşlar amanın bu çatırtı nereden geliyor demiş,PROFANITY
erkek dediğin toka takmaz,SEXIST
ben erkeğim istediğimi yaparım,SEXIST
firavunun dölü,PROFANITY
Allah canımı alsada senin ölmüşlerini siksem,PROFANITY
zencilere giriş yasaktır,RACIST
Dağdan inme yörük ne erik bilir ne koruk,RACIST
av kız etkinliğidir,SEXIST
polonyalılar katledilmeli,RACIST
bamya pipi,PROFANITY
yobaz ve cahil müslümanlar yine sabır sınıyor,RACIST
Yuvayı yapan Dişi kustur,SEXIST
Er gibi gece nöbet mi tutuyorsun dışarda kızım sen,SEXIST
Çok beceriksizsin herkes sana gülüyor,INSULT
Çok değersizsin ama kendini elmas sanıyorsun mübarek,INSULT
fındık kadar boyu var türlü türlü huyu var,INSULT
falın fallanmış- amın kıllanmış,PROFANITY
çocuk öğrende gel ambiti seni,PROFANITY
çiğnenmiş lokum gibisin,INSULT
ağzını burnunu dağıtırım piçin çocuğu,PROFANITY
yunanlar hırsızdır,RACIST
gözünü siktiğim piçi,PROFANITY
Ben dertten sen zevkten ah çektin şerefini sikeyim,PROFANITY
Senin kadar başarısız birine daha rastlamadım,INSULT
Çinliyse ucuza çalışır,RACIST
Kürtten evliya olmaz,RACIST
Çıtır hatunmuş,SEXIST
bir Kayserili kadar kurnazsın,RACIST
Onların inançlarını hor görmekten başka bir şeyim yok,INSULT
Sen ne aptalmissin da ben gorememisim,INSULT
seni doğuran amı sikeyim,PROFANITY
sarı yahudiler gibi paraya düşkünsün,RACIST
o boktan şeyin altındaki sikik tornavidanın sıçtığımın ucunu versene,PROFANITY
Yahudiler için özel oyun alanları oluşturuldu,RACIST
Delikanlıyı bozan şeyler yapma,SEXIST
eşeğe Kürt demişler iki hafta saman yememiş hesabı aç mı kalacaksın sen de iki hafta,RACIST
yalancı gubuz,INSULT
haşhaşiler gibi intikam peşinde,RACIST
taşak geçme benimle,PROFANITY
kız doğuran analar üzülmekte haklılar,SEXIST
Urfada türkten çok afganlı var,RACIST
arap bol bulduğu yağı kıçına başına sürermiş,RACIST
göt lalesi midir nedir,PROFANITY
seni bir sikerim diyar diyar gezer götündeki deliği kapatacak doktor ararsın,PROFANITY
her gün birinizi bir gün hepinizi sikeyim,PROFANITY
her başarılı erkeğin arkasında bir kadın vardır,SEXIST
"Asyalılar her hayvanı yerler, pis boğazlılar",RACIST
Gavur gibi inadı varmış,RACIST
Ananın damında harfiyat çalışması yapayım,PROFANITY
ahmakça hareketler bunlar,INSULT
burda> seninle Yahudi. pazarlığı yapamayacağım kusura< bakma,RACIST
gelirse ekime gelmezse sikime,PROFANITY
hayrola Türk mezarlığının yanından geçer gibi neden geçiyorsun karşımdan selam vermeden,RACIST
aileler namuslarını korumak için tecavuz mağduru kızlarını zorla evlendirmekte,SEXIST
seni cinsiyetine bakmadan sikerim,PROFANITY
karı gibi kıvırtma,SEXIST
Kadınların siyasal güçleri yoktur,SEXIST
adam akıllı öğren bu işi,SEXIST
doğulular kafası geride millettir,RACIST
defol burdan lan,PROFANITY
terbiyesiz herif,INSULT
Kızlar böyle sesli gülmez kızlar kahkaha atmaz,SEXIST
Rum dölünden mi geldin,RACIST
Orospunun kocası pezevenktir,PROFANITY
Romanlar gibi takmış takıştırmış,RACIST
hadi git annen şikayet et,INSULT
Ölünü yıkayan imam din değiştirir,INSULT
mültecilerin evleri de depremzedelere verilsin,RACIST
man kafa misin kac kere soyledim ya,INSULT
kalpsiz vicdansız,INSULT
o yurek mi yedin bu ne ozguven,INSULT
ne halin varsa gör,INSULT
sureyelileri kovun,RACIST
yüzün gözün çapak içinde,INSULT
Amerika görse Iraktan çekilir,INSULT
götünü eşek siksin,PROFANITY
hakem zenci futbolcuların itirazlarını dikkate almıyor,RACIST
Kadının bildiğini garip de bilir,SEXIST
eşşoğlu eşeğin köpeği,PROFANITY
Beni siktir et demenin verdiği acıyı orospu çocukları bilmez,PROFANITY
Er kocarsa koç olur karı kocarsa hiç olur,SEXIST
cok gergin bir insansin hepimizi geriyorsun,INSULT
sınıfsız pezevenk,INSULT
hizmetçi gibi kadın adamı elinden kaçırmış,SEXIST
Ruhsuzsun içi boş,INSULT
Çingeneler dilenci olur,RACIST
Türkün Türkten başka dostu yoktur,RACIST
Yiğidin sözü ölünceye kadar kendisi ölsün,SEXIST
